Time_Point_hpi,Treatment,Cell_ID,RI,Gradient,Blebbing cells number,,,Gradient,Normalized Gradient
0,Staurosporin,1,1.33904,0.00206309,,,,0.00206309,0.7541156543
0,Staurosporin,2,1.33928,0.00217931,,,,0.00217931,0.7965972335
0,Staurosporin,3,1.33944,0.00240152,,,,0.00240152,0.8778210481
0,Staurosporin,4,1.33922,0.00263377,,,,0.00263377,0.9627147564
0,Staurosporin,5,1.33931,0.0062562,,,,0.0062562,2.286811703
0,Staurosporin,6,1.33914,0.00226656,,,,0.00226656,0.8284894878
0,Staurosporin,7,1.33928,0.00209645,,,,0.00209645,0.766309644
0,Staurosporin,8,1.33956,0.00247528,,,,0.00247528,0.9047823395
0,Staurosporin,9,1.33926,0.00249278,,,,0.00249278,0.9111790667
0,Staurosporin,10,1.33926,0.00249278,,,,0.00249278,0.9111790667
1,Staurosporin,1,1.34098,0.00331779,,,,0.00331779,1.212742719
1,Staurosporin,2,1.34072,0.00314431,,,,0.00314431,1.149331049
1,Staurosporin,3,1.34083,0.00339702,,,,0.00339702,1.241703445
1,Staurosporin,4,1.34165,0.00369231,,,,0.00369231,1.349639992
1,Staurosporin,5,1.34103,0.00338311,,,,0.00338311,1.23661896
1,Staurosporin,6,1.34098,0.00361517,,,,0.00361517,1.321443219
1,Staurosporin,7,1.34075,0.00374149,,,,0.00374149,1.367616623
1,Staurosporin,8,1.34162,0.00360585,,,,0.00360585,1.318036504
1,Staurosporin,9,1.34036,0.00387904,,,,0.00387904,1.417894899
1,Staurosporin,10,1.34069,0.00399044,,,,0.00399044,1.458614637
2,Staurosporin,1,1.34314,0.00540979,,,,0.00540979,1.977425767
2,Staurosporin,2,1.3401,0.0044263,,,,0.0044263,1.617933353
2,Staurosporin,3,1.34397,0.00483715,,,,0.00483715,1.768110231
2,Staurosporin,4,1.34343,0.00529168,,,,0.00529168,1.934253341
2,Staurosporin,5,1.34333,0.00528977,,,,0.00528977,1.933555184
2,Staurosporin,6,1.34301,0.00524227,,,,0.00524227,1.916192639
2,Staurosporin,7,1.34302,0.00469247,,,,0.00469247,1.715225746
2,Staurosporin,8,1.34349,0.00521758,,,,0.00521758,1.90716777
2,Staurosporin,9,1.34342,0.00459332,,,,0.00459332,1.678983717
2,Staurosporin,10,1.34319,0.00513159,,,,0.00513159,1.875736081
3,Staurosporin,1,1.34645,0.00592959,,,,0.00592959,2.167426842
3,Staurosporin,2,1.34414,0.00442171,,,,0.00442171,1.616255583
3,Staurosporin,3,1.34738,0.00669595,,,,0.00669595,2.44755232
3,Staurosporin,4,1.34694,0.00734639,,,,0.00734639,2.685305877
3,Staurosporin,5,1.34813,0.00772195,,,,0.00772195,2.822583298
3,Staurosporin,6,1.34626,0.00784909,,,,0.00784909,2.869056435
3,Staurosporin,7,1.34639,0.00823551,,,,0.00823551,3.010303483
3,Staurosporin,8,1.34668,0.00767145,,,,0.00767145,2.804124171
3,Staurosporin,9,1.34646,0.00756685,,,,0.00756685,2.765890019
3,Staurosporin,10,1.34756,0.00706881,,,,0.00706881,2.583842817
4,Staurosporin,1,1.34852,0.00905327,,,,0.00905327,3.309217063
4,Staurosporin,2,1.34972,0.00780809,,,,0.00780809,2.854069817
4,Staurosporin,3,1.34889,0.00745253,,,,0.00745253,2.724102941
4,Staurosporin,4,1.34039,0.00811772,,,,0.00811772,2.967248026
4,Staurosporin,5,1.34823,0.00744715,,,,0.00744715,2.722136405
4,Staurosporin,6,1.34936,0.0100107,,,,0.0100107,3.659183836
4,Staurosporin,7,1.34789,0.00814527,,,,0.00814527,2.977318302
4,Staurosporin,8,1.34819,0.00967602,,,,0.00967602,3.53684917
4,Staurosporin,9,1.34819,0.00967602,,,,0.00967602,3.53684917
4,Staurosporin,10,1.34861,0.00881634,,,,0.00881634,3.222612687
5,Staurosporin,1,1.34455,0.00795711,,,,0.00795711,2.908540691
5,Staurosporin,2,1.34444,0.00530631,,,,0.00530631,1.939601005
5,Staurosporin,3,1.34504,0.00533616,,,,0.00533616,1.950511994
5,Staurosporin,4,1.34481,0.00752961,,,,0.00752961,2.752277783
5,Staurosporin,5,1.3441,0.00545389,,,,0.00545389,1.993545519
5,Staurosporin,6,1.34451,0.00629406,,,,0.00629406,2.300650565
5,Staurosporin,7,1.34519,0.00669632,,,,0.00669632,2.447687565
5,Staurosporin,8,1.34353,0.0064668,,,,0.0064668,2.363791746
5,Staurosporin,9,1.34409,0.00881796,,,,0.00881796,3.223204841
5,Staurosporin,10,1.3437,0.00663135,,,,0.00663135,2.423939258